listentry,name,grade,listdate,amenddate,legacyuid,capturesca,location
1021818,VIADUCT OVER MIDFORD BROOK,II,06/14/1988 12:00:00 AM,,314532,1:2500,"(51.35739, -2.3159)"
1115154,THE OLD RECTORY,II,05/19/1950 12:00:00 AM,,31923,1:2500,"(51.29378, -2.42547)"
1115155,CHURCH OF ST MARY MAGDALEN,II,12/21/1979 12:00:00 AM,,31924,1:2500,"(51.29391, -2.42632)"
1115156,COMBE FARMHOUSE,II,12/21/1979 12:00:00 AM,,31926,1:2500,"(51.2918, -2.42621)"
1115157,ENTRANCE PIERS AND FLANKING WALL TO EAST OF PARISH CHURCH OF ST JOHN THE BAPTIST,II,12/21/1979 12:00:00 AM,,31928,1:2500,"(51.28577, -2.48473)"
1115158,"5, CHURCH SQUARE",II,12/21/1979 12:00:00 AM,,31929,1:2500,"(51.2861, -2.48519)"
1115159,CHURCH FARMHOUSE,II,04/09/1975 12:00:00 AM,,31931,1:2500,"(51.28619, -2.48505)"
1115160,THE PRIORY,II*,05/19/1950 12:00:00 AM,,31933,1:2500,"(51.28658, -2.48565)"
1115161,"8, COOMB END",II,12/21/1979 12:00:00 AM,,31936,1:2500,"(51.29552, -2.44979)"
1115162,HAM BUILDINGS,II,12/21/1979 12:00:00 AM,,31937,1:2500,"(51.29393, -2.45037)"
1115163,FIR TREE INN,II,12/21/1979 12:00:00 AM,,31940,1:2500,"(51.28833, -2.42961)"
1115164,COUNCIL OFFICES,II*,05/19/1950 12:00:00 AM,,31946,1:2500,"(51.28601, -2.48219)"
1115165,"GARDEN WALL, WITH 3 GROTTO ARCHES SET IN, TO NORTH EAST OF NUMBER 19",II,12/21/1979 12:00:00 AM,,31947,1:2500,"(51.28626, -2.48166)"
1115166,"26 AND 27, HIGH STREET",II,12/21/1979 12:00:00 AM,,31948,1:2500,"(51.28723, -2.48022)"
1115167,TOWN HALL,II,12/21/1979 12:00:00 AM,,31949,1:2500,"(51.28549, -2.48297)"
1115168,"128, HIGH STREET",II,12/21/1979 12:00:00 AM,,31950,1:2500,"(51.28565, -2.48424)"
1115169,ISLAND HOUSE,II,12/21/1979 12:00:00 AM,,31951,1:2500,"(51.28506, -2.48426)"
1115170,THE ISLAND HOUSE,II,05/19/1950 12:00:00 AM,,31952,1:2500,"(51.285, -2.48482)"
1115171,EAST GARDEN WALL TO NUMBER 11 (THE ISLAND HOUSE),II,12/21/1979 12:00:00 AM,,31953,1:2500,"(51.28506, -2.48458)"
1115172,MONUMENT AND ST CHAD'S WELL ABOUT 40 YARDS SOUTH WEST OF NUMBER 11 (THE ISLAND HOUSE),II,12/21/1979 12:00:00 AM,,31954,1:2500,"(51.28465, -2.48471)"
1115173,BARTON MEADE HOUSE,II,05/19/1950 12:00:00 AM,05/09/1980 12:00:00 AM,31956,1:2500,"(51.27963, -2.45431)"
1115174,THE WALDEGRAVE ARMS HOTEL,II,12/21/1979 12:00:00 AM,,31959,1:2500,"(51.29341, -2.44846)"
